"Gene_ID","Gene_Symbol","Gene_Type","Chromosome","Strand","Length","Expression_Level","Log2FC","P_value","Condition","Time_Point","Replicate","Sample_Quality","Batch","Adjusted_P_value"
"ENSG83519","Gene_A","miRNA","Y","-",58854,41.1056676077645,-1.02039121113863,0.0406911775004119,"control","48h",3,"high",3,0.0932331789079883
"ENSG29394","Gene_A","protein_coding","15","-",95388,4.88901067408926,1.62916389382445,0.0666628130711615,"control","12h",1,"high",1,0.0977460602216444
"ENSG53241","Gene_A","protein_coding","X","+",90885,99.2169308690217,-0.100803774595906,0.0490796830970794,"treatment_A","0h",1,"high",4,0.0932331789079883
"ENSG28825","Gene_A","protein_coding","2","-",71371,45.3451059747848,-1.89656711223421,0.0087827067123726,"treatment_B","12h",2,"high",2,0.0894574145444066
"ENSG00041","Gene_A","protein_coding","21","-",82448,34.544489669715,-1.06506589196405,0.0104695523856208,"treatment_B","48h",1,"medium",1,0.0894574145444066
"ENSG14426","Gene_A","protein_coding","11","+",98326,53.455692106402,-0.680239088680287,0.0930946900742129,"treatment_B","12h",3,"high",2,0.0984206660563177
"ENSG72820","Gene_A","protein_coding","1","-",54707,59.0398936845275,-2.16961261064744,0.0769882595865056,"treatment_B","12h",2,"low",4,0.0984206660563177
"ENSG51656","Gene_A","miRNA","22","-",28970,55.7122950900057,1.98210813005699,0.0854453807231039,"treatment_A","0h",3,"high",1,0.0984206660563177
"ENSG94038","Gene_A","protein_coding","13","+",32390,28.0930227847791,0.475170413266643,0.0419810051098466,"control","0h",1,"medium",4,0.0932331789079883
"ENSG58527","Gene_A","protein_coding","8","+",86672,41.4343694938951,0.892941425458629,0.0924745390890166,"treatment_A","24h",2,"high",1,0.0984206660563177
"ENSG77009","Gene_A","protein_coding","8","+",3865,58.6289268492573,-3.14732595350826,0.0527243284741417,"treatment_A","24h",3,"high",1,0.0943190133705575
"ENSG43042","Gene_A","protein_coding","18","-",54448,76.1685820155614,-2.45354376816118,0.0165301548549905,"control","24h",2,"high",4,0.0894574145444066
"ENSG77837","Gene_A","lncRNA","7","-",27610,71.0263720639462,-1.09033371316214,0.0336770341033116,"treatment_B","0h",1,"high",4,0.0932331789079883
"ENSG06134","Gene_A","protein_coding","Y","+",61838,59.1661468290254,2.5128547171379,0.0971585103543475,"treatment_A","0h",1,"high",1,0.0991022178780927
"ENSG33523","Gene_A","protein_coding","13","-",90360,84.3296977806362,-0.743425042992131,0.0685457379557192,"treatment_A","12h",3,"medium",4,0.0983439568948626
"ENSG21812","Gene_A","protein_coding","15","+",51197,109.006318859389,2.29118715955558,0.088601836306043,"treatment_A","0h",1,"high",4,0.0984206660563177
"ENSG39895","Gene_A","protein_coding","8","-",22170,7.89607480702958,0.998456122497666,0.0654158117715269,"treatment_B","48h",3,"high",2,0.0969123137355954
"ENSG09640","Gene_A","other","16","-",63520,45.4369728536255,-0.35778977325447,0.0876322464318946,"treatment_B","24h",2,"low",3,0.0984206660563177
"ENSG85278","Gene_A","protein_coding","14","-",37586,99.2693017833921,-1.40770447170057,0.0846028182888404,"treatment_A","24h",2,"high",1,0.0984206660563177
"ENSG09326","Gene_A","protein_coding","Y","-",67924,69.4389293733236,2.71496155864091,0.0113106225850061,"control","48h",1,"high",1,0.0894574145444066
"ENSG26510","Gene_A","pseudogene","16","+",87402,64.9911874877846,1.1990418621851,0.0255183311644942,"treatment_A","12h",2,"high",4,0.0915047455972473
"ENSG20960","Gene_A","miRNA","12","+",4362,46.2324883374293,-0.0485128947645161,0.04728811790701,"treatment_A","48h",3,"high",2,0.0932331789079883
"ENSG14403","Gene_A","pseudogene","16","-",1962,67.1158418837045,0.297209852487174,0.09029585798271,"control","12h",1,"low",2,0.0984206660563177
"ENSG64502","Gene_A","protein_coding","11","+",49592,79.8516539766894,-1.24077287670029,0.0574670875445008,"treatment_B","0h",2,"high",1,0.094830177466173
"ENSG71503","Gene_B","protein_coding","5","+",81163,64.2791887331852,3.73091790750151,0.0515835132915527,"control","0h",1,"high",1,0.0936407695416415
"ENSG45221","Gene_B","protein_coding","4","-",72562,77.8536056950737,1.17461002026272,0.00855765666346997,"treatment_A","12h",2,"high",3,0.0894574145444066
"ENSG94335","Gene_B","lncRNA","14","+",18929,41.0693458747547,1.81337922582887,0.00656102036591619,"treatment_B","24h",1,"low",1,0.0894574145444066
"ENSG92372","Gene_B","lncRNA","8","+",4965,77.8924526975009,-1.99202666321892,0.0420165367191657,"treatment_B","24h",2,"high",4,0.0932331789079883
"ENSG77585","Gene_B","lncRNA","22","-",4625,74.7779296474181,-3.10655557814889,0.0241738193668425,"control","24h",3,"high",3,0.0894574145444066
"ENSG80686","Gene_B","protein_coding","15","+",18451,89.3446752382189,3.93457563564647,0.0781568452250213,"treatment_B","0h",1,"high",4,0.0984206660563177
"ENSG70563","Gene_B","protein_coding","11","-",56869,63.6657367164369,0.141089488656405,0.0714496402069926,"treatment_A","0h",1,"high",1,0.0984206660563177
"ENSG32606","Gene_B","protein_coding","Y","-",94930,58.202203982253,-1.09292136329409,0.0623582437867299,"treatment_B","24h",3,"medium",4,0.0957815478602923
"ENSG16152","Gene_B","protein_coding","20","+",34016,48.6724838909028,-0.141124710651268,0.0135366185102612,"treatment_B","12h",3,"low",4,0.0894574145444066
"ENSG25559","Gene_B","miRNA","10","-",72052,37.6430386254478,-0.961699343573303,0.0595325051341206,"control","48h",1,"high",3,0.0951568795793568
"ENSG14215","Gene_B","protein_coding","19","-",24495,67.5255224780107,2.05522365713442,0.00308679074514657,"treatment_B","24h",1,"medium",4,0.0894574145444066
"ENSG14287","Gene_B","protein_coding","5","-",41552,86.3043558476059,1.41816958348519,0.0926024355692789,"control","0h",1,"high",3,0.0984206660563177
"ENSG23194","Gene_B","protein_coding","1","-",30921,137.504427043965,4.57255943387668,0.03960277561564,"control","0h",1,"high",4,0.0932331789079883
"ENSG90094","Gene_B","protein_coding","12","+",67496,97.7517996823153,-2.69402119954294,0.0225237170467153,"control","0h",3,"high",3,0.0894574145444066
"ENSG34976","Gene_B","miRNA","18","+",81228,37.0127756071301,-0.676469289915607,0.0694280317984521,"treatment_B","24h",1,"high",2,0.0983535725489196
"ENSG14491","Gene_B","protein_coding","6","+",5616,108.928558365042,0.987570692299425,0.0786137414630503,"treatment_A","12h",2,"high",4,0.0984206660563177
"ENSG82949","Gene_B","protein_coding","19","-",39369,33.9320273333636,3.32115418761643,0.0831985237775371,"treatment_A","0h",2,"low",2,0.0984206660563177
"ENSG77584","Gene_B","protein_coding","15","+",95171,44.6417550571007,-2.0358106516352,0.0857156105805189,"treatment_A","0h",1,"high",4,0.0984206660563177
"ENSG40503","Gene_B","protein_coding","18","-",70780,39.8044658273783,0.0406787749710125,0.00632502392400056,"treatment_B","24h",3,"high",2,0.0894574145444066
"ENSG34724","Gene_B","protein_coding","Y","-",86639,74.33380144201,-0.788113912213781,0.00955858605448157,"treatment_A","0h",2,"medium",4,0.0894574145444066
"ENSG86013","Gene_B","protein_coding","10","-",95687,19.9717970944905,-3.1470977041568,0.0743779259268195,"control","48h",2,"high",4,0.0984206660563177
"ENSG17369","Gene_B","protein_coding","1","-",2070,117.780789306389,-2.14795442362866,0.00232576113194227,"treatment_B","24h",1,"high",1,0.0894574145444066
"ENSG31542","Gene_B","protein_coding","6","+",32951,96.9430762868754,-2.34855007043736,0.0294468628475443,"treatment_A","48h",3,"medium",2,0.0927028114405962
"ENSG59106","Gene_B","protein_coding","8","+",84658,107.83830921076,-3.58938121468367,0.0831616998882964,"control","48h",2,"high",3,0.0984206660563177
"ENSG86605","Gene_B","miRNA","21","-",65704,49.2733201717521,0.470405919609831,0.0181159605504945,"treatment_A","24h",1,"high",3,0.0894574145444066
"ENSG40632","Gene_B","protein_coding","9","+",1115,106.650622478078,0.325666528480865,0.0401016883086413,"control","24h",1,"low",1,0.0932331789079883
"ENSG96111","Gene_B","protein_coding","18","-",56265,84.9069697103212,1.46022309720231,0.0298914625076577,"treatment_B","48h",2,"high",3,0.0927028114405962
"ENSG43204","Gene_B","protein_coding","15","+",51387,105.491074389596,2.51296163621629,0.0991694376338273,"treatment_B","48h",1,"high",1,0.0997996583610953
"ENSG37544","Gene_B","protein_coding","8","-",37592,54.3325199868749,-3.88685933350114,0.0449254867853597,"treatment_B","12h",2,"high",3,0.0932331789079883
"ENSG99289","Gene_B","lncRNA","22","-",82173,37.3018528196494,-0.833609262434995,0.0624998105457053,"control","48h",1,"high",3,0.0957815478602923
"ENSG84427","Gene_B","protein_coding","22","-",78848,89.8852643907092,-2.21865123116485,0.0505198763450608,"control","24h",3,"medium",2,0.0932331789079883
"ENSG76820","Gene_B","protein_coding","5","+",84584,42.1811906242249,0.312632905524981,0.0489016498904675,"control","24h",2,"medium",3,0.0932331789079883
"ENSG82115","Gene_B","protein_coding","18","-",84927,132.793658075267,1.9670267106653,0.0437686293618754,"control","48h",1,"high",2,0.0932331789079883
"ENSG44196","Gene_B","protein_coding","8","+",41547,82.0532194750711,0.75443789060731,0.0041733190882951,"treatment_B","0h",3,"high",4,0.0894574145444066
"ENSG92337","Gene_B","other","20","-",85761,63.813852940094,-0.16447130084958,0.020111987600103,"control","0h",2,"high",1,0.0894574145444066
"ENSG44983","Gene_B","other","20","+",76580,55.9814211919855,-0.720894555438316,0.0209143282845616,"treatment_A","48h",2,"high",3,0.0894574145444066
"ENSG91438","Gene_B","protein_coding","4","+",42443,127.204753462253,0.0937861116902895,0.0601551942061633,"treatment_A","24h",2,"high",2,0.095250624004629
"ENSG36717","Gene_B","miRNA","9","-",3878,40.0199647775705,1.70670557050031,0.00839936528354883,"control","12h",1,"high",2,0.0894574145444066
"ENSG28078","Gene_B","protein_coding","11","-",4830,71.2025947475304,1.81688820809606,0.0604924858780578,"treatment_B","12h",2,"medium",2,0.095250624004629
"ENSG69369","Gene_B","other","Y","-",27769,52.6938009417176,0.78793428153411,0.0997805387713015,"treatment_B","12h",3,"high",2,0.0999473392264918
"ENSG91564","Gene_B","protein_coding","16","-",3583,69.4547038078308,2.23382500640653,0.0581432683393359,"treatment_B","12h",1,"high",3,0.0951290236447345
"ENSG43406","Gene_B","pseudogene","10","+",83654,51.5017944451187,0.101128894534013,0.0100337595446035,"treatment_A","24h",1,"high",3,0.0894574145444066
"ENSG41488","Gene_B","protein_coding","4","-",15340,61.5131215032551,2.93693438446838,0.0382500954670832,"treatment_B","48h",3,"high",4,0.0932331789079883
"ENSG47485","Gene_B","protein_coding","1","+",47561,101.346235005737,-2.00362621333268,0.0732829491375014,"treatment_A","24h",2,"medium",4,0.0984206660563177
"ENSG63528","Gene_B","protein_coding","11","+",84901,69.9287964966991,0.54718371791364,0.0561905005481094,"treatment_B","0h",3,"medium",3,0.094830177466173
"ENSG14536","Gene_B","protein_coding","2","+",81023,73.4545497355418,-3.62776220602719,0.0910119983833283,"treatment_B","24h",2,"high",1,0.0984206660563177
"ENSG83069","Gene_B","protein_coding","8","-",63420,76.152559025098,0.935864883260541,0.007008829806,"treatment_A","0h",1,"high",4,0.0894574145444066
"ENSG51465","Gene_B","pseudogene","22","+",57551,31.4550296395714,-4.74987862107865,0.0373040294041857,"treatment_A","12h",1,"medium",1,0.0932331789079883
"ENSG26503","Gene_B","protein_coding","X","-",5453,89.5609781693691,-0.570282496797188,0.0243324167560786,"treatment_B","0h",3,"high",1,0.0894574145444066
"ENSG88299","Gene_B","lncRNA","13","-",59925,42.4418415242195,0.15730372137433,0.0557401170022786,"treatment_B","12h",3,"medium",4,0.0947961173508139
"ENSG32953","Gene_C","protein_coding","18","-",8184,81.5636588025257,1.01035616861667,0.0059447793290019,"treatment_A","0h",1,"high",2,0.0894574145444066
"ENSG00413","Gene_C","pseudogene","10","+",97424,51.8848163885421,-1.18996726977647,0.013965897471644,"control","0h",2,"high",1,0.0894574145444066
"ENSG10762","Gene_C","protein_coding","20","+",51375,85.9783033003476,-1.1266920471653,0.0179873060202226,"treatment_A","24h",2,"high",1,0.0894574145444066
"ENSG48182","Gene_C","miRNA","21","+",93754,58.2822379862226,0.0964690666629477,0.0497615400701761,"treatment_A","24h",3,"medium",1,0.0932331789079883
"ENSG30571","Gene_C","protein_coding","19","-",95386,83.9436726639246,-1.14310842592389,0.0368529279949144,"control","48h",1,"high",3,0.0932331789079883
"ENSG42521","Gene_C","protein_coding","4","-",37037,100.162416484824,0.952825159369875,0.035904759215191,"control","0h",2,"high",1,0.0932331789079883
"ENSG74522","Gene_C","protein_coding","13","+",44227,56.1820394017192,1.08779706543826,0.0976504042977467,"treatment_B","48h",1,"high",2,0.0991022178780927
"ENSG14745","Gene_C","other","15","-",69297,41.5023883680429,-2.45237150864148,0.0225621453253552,"control","48h",3,"high",3,0.0894574145444066
"ENSG25946","Gene_C","lncRNA","3","-",94735,58.2847971801843,-0.646426176313758,0.0506140847923234,"treatment_A","48h",3,"low",1,0.0932331789079883
"ENSG80340","Gene_C","lncRNA","18","+",41165,31.2891861951785,2.48022317105883,0.0724738657474518,"treatment_B","0h",1,"high",2,0.0984206660563177
"ENSG43928","Gene_C","lncRNA","4","-",25607,73.4528636323618,-1.02318771970684,0.0416290001012385,"treatment_B","48h",3,"high",4,0.0932331789079883
"ENSG06601","Gene_C","protein_coding","18","-",16803,68.7189296995475,-1.25076758146303,0.0202495868084952,"treatment_B","48h",2,"high",3,0.0894574145444066
"ENSG57701","Gene_C","pseudogene","12","-",72153,48.4109736797122,1.93700537407066,0.0268530720612034,"treatment_B","12h",3,"medium",3,0.0915047455972473
"ENSG53518","Gene_C","protein_coding","17","-",16273,48.4227054377936,-2.48962353398204,0.00611701474990696,"control","24h",2,"high",3,0.0894574145444066
"ENSG72326","Gene_C","protein_coding","11","+",30598,106.496247497773,-0.808238125062883,0.0209496201016009,"control","48h",2,"high",4,0.0894574145444066
"ENSG52353","Gene_C","protein_coding","10","-",83748,86.7338108709178,-1.31420450898042,0.0794743232196197,"treatment_A","48h",1,"high",3,0.0984206660563177
"ENSG66154","Gene_C","protein_coding","15","+",48446,85.8014651922266,-3.00959938451509,0.0327115622814745,"control","0h",3,"low",4,0.0932331789079883
"ENSG47802","Gene_C","other","20","-",4528,40.3607066445915,-0.518862978355395,0.0580040815752,"treatment_B","0h",3,"medium",3,0.0951290236447345
"ENSG31517","Gene_C","protein_coding","16","+",47267,53.0439432198394,0.415619707223992,0.0878913913853467,"treatment_A","24h",1,"medium",1,0.0984206660563177
"ENSG66075","Gene_C","protein_coding","4","+",92548,56.1541458071231,-1.34369469870593,0.00523109203204513,"treatment_A","12h",1,"high",4,0.0894574145444066
"ENSG32263","Gene_C","protein_coding","14","+",98611,126.135427268556,-0.19955606047756,0.08723090053536,"treatment_A","0h",3,"high",2,0.0984206660563177
"ENSG95989","Gene_C","protein_coding","6","+",88345,72.4465183786585,0.885056044507532,0.0240771542768925,"control","48h",2,"low",1,0.0894574145444066
"ENSG69161","Gene_C","pseudogene","5","+",26206,91.5741705084942,0.422159511158484,0.0376545100007206,"control","0h",1,"low",1,0.0932331789079883
"ENSG81118","Gene_C","protein_coding","2","+",76822,76.4535343196725,-1.10508378306496,0.0802683669142425,"control","24h",1,"medium",2,0.0984206660563177
"ENSG56157","Gene_C","protein_coding","20","+",44558,91.2917775523265,-1.64796011251251,0.0535851098131388,"treatment_B","12h",2,"high",4,0.0947591579957962
"ENSG19392","Gene_C","other","13","+",8230,34.6569739991877,0.776535686993621,0.0159257950261235,"treatment_A","48h",3,"low",2,0.0894574145444066
"ENSG46137","Gene_C","lncRNA","22","+",19182,73.2614912415432,1.8803314591051,0.059196751890704,"control","0h",3,"low",1,0.0951568795793568
"ENSG67747","Gene_C","other","11","+",12826,42.660860845275,-0.358382179974251,0.0780799085972831,"control","12h",1,"medium",2,0.0984206660563177
"ENSG02286","Gene_C","miRNA","2","+",79112,60.2007490467276,-2.08780886530226,0.0341833874816075,"treatment_B","0h",1,"high",4,0.0932331789079883
"ENSG59970","Gene_C","protein_coding","5","-",24345,36.2364063439848,-4.6824512152744,0.0371654473943636,"treatment_B","0h",2,"high",2,0.0932331789079883
"ENSG84298","Gene_C","protein_coding","3","+",21561,94.1569381654953,-2.16597269674418,0.044364615669474,"treatment_A","0h",3,"high",1,0.0932331789079883
"ENSG54661","Gene_C","protein_coding","5","-",16858,88.0500960547803,-1.37622996717111,0.0078101655235514,"treatment_B","48h",1,"high",3,0.0894574145444066
"ENSG32281","Gene_C","protein_coding","4","-",92748,6.6340805731525,2.41800238737763,0.0507846227614209,"treatment_B","0h",1,"high",1,0.0932331789079883
"ENSG64085","Gene_C","miRNA","19","-",4702,33.7663957772539,0.360561463239638,0.0681108344346285,"treatment_B","48h",3,"low",3,0.0981180348078445
"ENSG07826","Gene_C","other","15","+",36665,29.4724260106024,0.632130081326357,0.0864942757878453,"control","48h",2,"high",4,0.0984206660563177
"ENSG80287","Gene_C","protein_coding","5","-",49251,102.128441454042,0.095179900790131,0.000640688790008426,"treatment_B","12h",3,"medium",2,0.0800860987510532
"ENSG89799","Gene_C","lncRNA","18","-",73071,61.2649128037002,-1.54924200503965,0.0545675435336307,"control","48h",1,"high",2,0.0947961173508139
"ENSG25449","Gene_C","protein_coding","Y","+",6165,50.7389375036582,1.0088160791489,0.0258867799770087,"treatment_B","48h",2,"high",2,0.0915047455972473
"ENSG63405","Gene_C","protein_coding","14","+",65696,68.6357411076325,-1.69095598626076,0.0789979418972507,"control","48h",2,"high",1,0.0984206660563177
"ENSG76223","Gene_C","miRNA","9","-",94147,65.6141083919275,1.34603127957072,0.0465739482315257,"treatment_A","24h",2,"low",1,0.0932331789079883
"ENSG64616","Gene_C","protein_coding","Y","-",46145,26.8770751355851,-1.87444902454062,0.0956305742030963,"treatment_B","0h",1,"high",2,0.0987403032295906
"ENSG27455","Gene_C","lncRNA","Y","+",34741,50.5983316282176,1.55994551319456,0.059906275710091,"control","0h",2,"high",1,0.0952405019238331
"ENSG54740","Gene_C","protein_coding","11","-",85709,83.4530956614858,3.12758929598894,0.0301284137181938,"treatment_A","24h",1,"medium",3,0.0927028114405962
"ENSG78173","Gene_C","protein_coding","3","+",22803,87.8229190902447,-2.44728570716688,0.0601412035059184,"treatment_B","48h",2,"high",1,0.095250624004629
"ENSG20193","Gene_C","protein_coding","11","+",90472,42.9368230507266,-2.14156917480871,0.0766445820685476,"treatment_B","48h",1,"medium",3,0.0984206660563177
"ENSG66701","Gene_C","protein_coding","18","+",25550,55.1685630594919,1.86086662057065,0.0545608949614689,"treatment_A","0h",3,"low",2,0.0947961173508139
"ENSG97201","Gene_C","other","20","+",15818,58.8560837042464,3.60171155045271,0.0279658684972674,"control","0h",3,"high",2,0.0915220915035533
"ENSG22467","Gene_C","miRNA","6","-",57269,53.5767046738997,-1.06000485662257,0.0916967691387981,"control","12h",1,"high",4,0.0984206660563177
"ENSG95362","Gene_C","protein_coding","1","+",80936,99.7829991180713,-1.92348707837606,0.00278362883254886,"treatment_B","48h",1,"low",3,0.0894574145444066
"ENSG63167","Gene_C","protein_coding","6","-",95718,104.194528724927,0.979060870575299,0.0956793538294733,"treatment_B","48h",2,"low",3,0.0987403032295906
"ENSG79225","Gene_D","protein_coding","4","+",78487,79.3235602878259,2.68279818593459,0.00825034610461444,"treatment_B","12h",2,"high",3,0.0894574145444066
"ENSG63658","Gene_D","protein_coding","18","+",28603,128.778596611196,-1.14081887441838,0.09665201890748,"control","24h",1,"medium",1,0.0991022178780927
"ENSG49862","Gene_D","miRNA","11","+",11411,53.0703996946899,0.247155643127619,0.0499913673847914,"control","0h",3,"medium",4,0.0932331789079883
"ENSG84032","Gene_D","protein_coding","20","+",8749,85.8999014433646,-0.818256593009513,0.00948760416358709,"treatment_B","24h",3,"high",4,0.0894574145444066
"ENSG79331","Gene_D","protein_coding","11","-",25259,87.9357326444733,1.57815343761199,0.0799912695540115,"treatment_B","48h",3,"high",4,0.0984206660563177
"ENSG84955","Gene_D","protein_coding","22","+",12837,40.8029521685731,0.135325700694159,0.0209988458547741,"control","24h",3,"high",4,0.0894574145444066
"ENSG51491","Gene_D","protein_coding","14","-",94750,79.2132230014106,1.70413397623901,0.0556066753808409,"control","0h",2,"high",1,0.0947961173508139
"ENSG15703","Gene_D","protein_coding","6","-",3201,65.3847020230791,0.0187599120385729,0.0104072636691853,"control","12h",1,"high",1,0.0894574145444066
"ENSG06623","Gene_D","protein_coding","4","+",88001,80.9860255189166,0.463580793223879,0.0712790674995631,"control","12h",1,"high",4,0.0984206660563177
"ENSG08983","Gene_D","other","12","-",74713,49.6814164366404,1.79819228527155,0.0337810647906736,"treatment_A","12h",2,"high",2,0.0932331789079883
"ENSG37769","Gene_D","miRNA","16","-",74167,41.846698112579,-1.43975739793441,0.097742412565276,"treatment_A","0h",1,"medium",4,0.0991022178780927
"ENSG29479","Gene_D","protein_coding","21","-",93601,39.8628840071578,1.31055144852016,0.0619946620892733,"control","48h",3,"high",2,0.0956707748291255
"ENSG70943","Gene_D","protein_coding","21","-",52668,45.9202754121713,-3.39605958405133,0.00545280633959919,"treatment_A","24h",2,"medium",2,0.0894574145444066
"ENSG98170","Gene_D","protein_coding","10","+",91553,11.3252329117317,1.03147367673549,0.057419390254654,"control","0h",3,"high",2,0.094830177466173
"ENSG78121","Gene_D","protein_coding","10","-",93767,83.3399445583863,1.64515858331913,0.0954663650831208,"treatment_A","24h",2,"medium",1,0.0987403032295906
"ENSG86621","Gene_D","protein_coding","20","-",40319,70.3123439803307,0.00863255385147471,0.0408582659205422,"control","12h",1,"medium",3,0.0932331789079883
"ENSG01835","Gene_D","protein_coding","7","+",71634,94.2371113239273,1.13718330945246,0.078780818451196,"control","24h",3,"high",2,0.0984206660563177
"ENSG42221","Gene_D","protein_coding","7","+",3177,83.3497709864715,1.17533040390456,0.0438291845843196,"treatment_A","24h",1,"high",3,0.0932331789079883
"ENSG21099","Gene_D","miRNA","8","-",64216,36.7422077114789,-2.72435662695333,0.0699294164311141,"control","12h",3,"high",2,0.0984206660563177
"ENSG41043","Gene_D","protein_coding","7","+",19523,57.5122274736839,0.291724139067027,0.0337942945538089,"treatment_A","24h",1,"high",3,0.0932331789079883
"ENSG90978","Gene_D","miRNA","X","+",87738,23.9911807677387,1.35955375760989,0.0439958933042362,"treatment_B","12h",3,"medium",4,0.0932331789079883
"ENSG56529","Gene_D","protein_coding","16","+",77045,51.8078827458793,1.39641638546943,0.0194715523859486,"treatment_A","0h",1,"high",3,0.0894574145444066
"ENSG36940","Gene_D","protein_coding","8","+",93378,148.374966427185,-0.577320132251061,0.0676593588199467,"control","24h",3,"high",3,0.0980570417680386
"ENSG97455","Gene_D","protein_coding","3","-",99688,95.1667212063265,-1.04839665575241,0.0231581926578656,"control","48h",2,"high",4,0.0894574145444066
"ENSG76099","Gene_D","protein_coding","6","+",99022,37.8816343036027,-1.34330459288765,0.0936655947007239,"treatment_B","12h",3,"high",4,0.0984206660563177
"ENSG38265","Gene_D","protein_coding","9","-",19827,8.62528829357194,-2.71330393394728,0.0203537691151723,"treatment_A","0h",3,"high",4,0.0894574145444066
"ENSG76384","Gene_D","protein_coding","2","+",32184,56.653261984955,-0.398460454176652,0.0598763136425987,"treatment_A","12h",1,"high",2,0.0952405019238331
"ENSG46438","Gene_D","lncRNA","13","-",79630,59.7320644017178,1.0715834061304,0.0306003360776231,"treatment_A","0h",1,"high",1,0.0930011810057543
"ENSG75176","Gene_D","miRNA","Y","-",13098,55.698247629743,4.59322357503948,0.0937530012335628,"treatment_A","48h",2,"high",2,0.0984206660563177
"ENSG88461","Gene_D","protein_coding","18","+",61183,56.3414058505137,-1.52798281476428,0.00815771473571658,"treatment_A","48h",1,"high",3,0.0894574145444066
